Year,Neighborhood,Category,Count
2015,Outer Richmond,NON-CRIMINAL,9
2015,Outer Richmond,OTHER OFFENSES,6
2016,Outer Richmond,ASSAULT,72
2016,Outer Richmond,LARCENY/THEFT,427
2016,Outer Richmond,NON-CRIMINAL,153
2016,Outer Richmond,OTHER OFFENSES,116
2016,Outer Richmond,VEHICLE THEFT,65
2017,Outer Richmond,ASSAULT,95
2017,Outer Richmond,BURGLARY,74
2017,Outer Richmond,LARCENY/THEFT,382
2017,Outer Richmond,NON-CRIMINAL,212
2017,Outer Richmond,OTHER OFFENSES,198
2003,Pacific Heights,BURGLARY,124
2003,Pacific Heights,LARCENY/THEFT,503
2003,Pacific Heights,NON-CRIMINAL,120
2003,Pacific Heights,OTHER OFFENSES,119
2003,Pacific Heights,VEHICLE THEFT,248
2004,Pacific Heights,BURGLARY,146
2004,Pacific Heights,LARCENY/THEFT,434
2004,Pacific Heights,NON-CRIMINAL,130
2004,Pacific Heights,OTHER OFFENSES,118
2004,Pacific Heights,VEHICLE THEFT,298
2005,Pacific Heights,BURGLARY,212
2005,Pacific Heights,LARCENY/THEFT,536
2005,Pacific Heights,NON-CRIMINAL,138
2005,Pacific Heights,OTHER OFFENSES,120
2005,Pacific Heights,VEHICLE THEFT,364
2006,Pacific Heights,BURGLARY,185
2006,Pacific Heights,LARCENY/THEFT,534
2006,Pacific Heights,NON-CRIMINAL,114
2006,Pacific Heights,OTHER OFFENSES,120
2006,Pacific Heights,VEHICLE THEFT,117
2007,Pacific Heights,BURGLARY,157
2007,Pacific Heights,LARCENY/THEFT,462
2007,Pacific Heights,NON-CRIMINAL,126
2007,Pacific Heights,VANDALISM,102
2007,Pacific Heights,VEHICLE THEFT,100
2008,Pacific Heights,BURGLARY,126
2008,Pacific Heights,LARCENY/THEFT,499
2008,Pacific Heights,OTHER OFFENSES,125
2008,Pacific Heights,VANDALISM,114
2008,Pacific Heights,VEHICLE THEFT,113
2009,Pacific Heights,ASSAULT,86
2009,Pacific Heights,BURGLARY,143
2009,Pacific Heights,LARCENY/THEFT,391
2009,Pacific Heights,NON-CRIMINAL,108
2009,Pacific Heights,OTHER OFFENSES,167
2010,Pacific Heights,BURGLARY,146
2010,Pacific Heights,LARCENY/THEFT,331
2010,Pacific Heights,NON-CRIMINAL,111
2010,Pacific Heights,OTHER OFFENSES,119
2010,Pacific Heights,VANDALISM,76
2011,Pacific Heights,BURGLARY,137
2011,Pacific Heights,LARCENY/THEFT,367
2011,Pacific Heights,NON-CRIMINAL,134
2011,Pacific Heights,OTHER OFFENSES,130
2011,Pacific Heights,VANDALISM,87
2012,Pacific Heights,BURGLARY,128
2012,Pacific Heights,LARCENY/THEFT,459
2012,Pacific Heights,NON-CRIMINAL,153
2012,Pacific Heights,OTHER OFFENSES,139
2012,Pacific Heights,VEHICLE THEFT,109
2013,Pacific Heights,BURGLARY,130
2013,Pacific Heights,LARCENY/THEFT,528
2013,Pacific Heights,NON-CRIMINAL,156
2013,Pacific Heights,OTHER OFFENSES,146
2013,Pacific Heights,VEHICLE THEFT,118
2014,Pacific Heights,,
2014,Pacific Heights,,
2014,Pacific Heights,,
2014,Pacific Heights,,
2014,Pacific Heights,,
2015,Pacific Heights,ASSAULT,4
2015,Pacific Heights,LARCENY/THEFT,13
2015,Pacific Heights,NON-CRIMINAL,4
2015,Pacific Heights,OTHER OFFENSES,6
2015,Pacific Heights,VEHICLE THEFT,5
2016,Pacific Heights,BURGLARY,57
2016,Pacific Heights,LARCENY/THEFT,410
2016,Pacific Heights,NON-CRIMINAL,103
2016,Pacific Heights,OTHER OFFENSES,103
2016,Pacific Heights,VANDALISM,71
2017,Pacific Heights,ASSAULT,67
2017,Pacific Heights,BURGLARY,76
2017,Pacific Heights,LARCENY/THEFT,337
2017,Pacific Heights,NON-CRIMINAL,92
2017,Pacific Heights,OTHER OFFENSES,106
2003,Presidio Heights,BURGLARY,46
2003,Presidio Heights,LARCENY/THEFT,114
2003,Presidio Heights,NON-CRIMINAL,56
2003,Presidio Heights,OTHER OFFENSES,49
2003,Presidio Heights,VEHICLE THEFT,81
2004,Presidio Heights,ASSAULT,42
2004,Presidio Heights,BURGLARY,37
2004,Presidio Heights,LARCENY/THEFT,116
2004,Presidio Heights,NON-CRIMINAL,51
2004,Presidio Heights,VEHICLE THEFT,62
2005,Presidio Heights,BURGLARY,55
2005,Presidio Heights,LARCENY/THEFT,114
2005,Presidio Heights,NON-CRIMINAL,62
2005,Presidio Heights,VANDALISM,39
2005,Presidio Heights,VEHICLE THEFT,92
2006,Presidio Heights,BURGLARY,59
2006,Presidio Heights,LARCENY/THEFT,145
2006,Presidio Heights,NON-CRIMINAL,43
2006,Presidio Heights,SUSPICIOUS OCC,28
2006,Presidio Heights,VEHICLE THEFT,44
2007,Presidio Heights,BURGLARY,38
2007,Presidio Heights,LARCENY/THEFT,108
2007,Presidio Heights,NON-CRIMINAL,51
2007,Presidio Heights,OTHER OFFENSES,33
2007,Presidio Heights,VEHICLE THEFT,36
2008,Presidio Heights,BURGLARY,34
2008,Presidio Heights,LARCENY/THEFT,144
2008,Presidio Heights,NON-CRIMINAL,32
2008,Presidio Heights,OTHER OFFENSES,51
2008,Presidio Heights,VANDALISM,44
2009,Presidio Heights,LARCENY/THEFT,101
2009,Presidio Heights,NON-CRIMINAL,43
2009,Presidio Heights,OTHER OFFENSES,53
2009,Presidio Heights,SUSPICIOUS OCC,29
2009,Presidio Heights,VANDALISM,29
2010,Presidio Heights,LARCENY/THEFT,63
2010,Presidio Heights,NON-CRIMINAL,49
2010,Presidio Heights,OTHER OFFENSES,37
2010,Presidio Heights,SUSPICIOUS OCC,32
2010,Presidio Heights,VANDALISM,36
2011,Presidio Heights,ASSAULT,39
2011,Presidio Heights,BURGLARY,40
2011,Presidio Heights,LARCENY/THEFT,99
2011,Presidio Heights,NON-CRIMINAL,43
2011,Presidio Heights,OTHER OFFENSES,62
2012,Presidio Heights,BURGLARY,42
2012,Presidio Heights,LARCENY/THEFT,126
2012,Presidio Heights,NON-CRIMINAL,62
2012,Presidio Heights,OTHER OFFENSES,78
2012,Presidio Heights,SUSPICIOUS OCC,42
2013,Presidio Heights,LARCENY/THEFT,137
2013,Presidio Heights,NON-CRIMINAL,77
2013,Presidio Heights,OTHER OFFENSES,55
2013,Presidio Heights,VANDALISM,54
2013,Presidio Heights,VEHICLE THEFT,45
2014,Presidio Heights,,
2014,Presidio Heights,,
2014,Presidio Heights,,
2014,Presidio Heights,,
2014,Presidio Heights,,
2015,Presidio Heights,BURGLARY,1
2015,Presidio Heights,LARCENY/THEFT,5
2015,Presidio Heights,MISSING PERSON,1
2015,Presidio Heights,OTHER OFFENSES,2
2015,Presidio Heights,VEHICLE THEFT,1
2016,Presidio Heights,BURGLARY,15
2016,Presidio Heights,LARCENY/THEFT,82
2016,Presidio Heights,NON-CRIMINAL,30
2016,Presidio Heights,OTHER OFFENSES,29
2016,Presidio Heights,VANDALISM,23
2017,Presidio Heights,ASSAULT,15
2017,Presidio Heights,LARCENY/THEFT,75
2017,Presidio Heights,NON-CRIMINAL,46
2017,Presidio Heights,OTHER OFFENSES,50
2017,Presidio Heights,VANDALISM,19
2003,Russian Hill,ASSAULT,75
2003,Russian Hill,LARCENY/THEFT,278
2003,Russian Hill,NON-CRIMINAL,119
2003,Russian Hill,OTHER OFFENSES,77
2003,Russian Hill,VEHICLE THEFT,190
2004,Russian Hill,BURGLARY,106
2004,Russian Hill,LARCENY/THEFT,245
2004,Russian Hill,NON-CRIMINAL,96
2004,Russian Hill,OTHER OFFENSES,99
2004,Russian Hill,VEHICLE THEFT,248
2005,Russian Hill,BURGLARY,116
2005,Russian Hill,LARCENY/THEFT,309
2005,Russian Hill,NON-CRIMINAL,97
2005,Russian Hill,OTHER OFFENSES,75
2005,Russian Hill,VEHICLE THEFT,233
2006,Russian Hill,BURGLARY,93
2006,Russian Hill,LARCENY/THEFT,344
2006,Russian Hill,NON-CRIMINAL,94
2006,Russian Hill,OTHER OFFENSES,101
2006,Russian Hill,VEHICLE THEFT,93
2007,Russian Hill,BURGLARY,79
2007,Russian Hill,LARCENY/THEFT,352
2007,Russian Hill,NON-CRIMINAL,100
2007,Russian Hill,OTHER OFFENSES,80
2007,Russian Hill,VEHICLE THEFT,92
2008,Russian Hill,BURGLARY,91
2008,Russian Hill,LARCENY/THEFT,357
2008,Russian Hill,NON-CRIMINAL,129
2008,Russian Hill,OTHER OFFENSES,100
2008,Russian Hill,VEHICLE THEFT,88
2009,Russian Hill,BURGLARY,84
2009,Russian Hill,LARCENY/THEFT,387
2009,Russian Hill,NON-CRIMINAL,106
2009,Russian Hill,OTHER OFFENSES,104
2009,Russian Hill,VEHICLE THEFT,88
2010,Russian Hill,ASSAULT,82
2010,Russian Hill,BURGLARY,72
2010,Russian Hill,LARCENY/THEFT,347
2010,Russian Hill,NON-CRIMINAL,112
2010,Russian Hill,OTHER OFFENSES,94
2011,Russian Hill,BURGLARY,68
2011,Russian Hill,LARCENY/THEFT,318
2011,Russian Hill,NON-CRIMINAL,125
2011,Russian Hill,OTHER OFFENSES,117
2011,Russian Hill,VANDALISM,75
2012,Russian Hill,ASSAULT,69
2012,Russian Hill,BURGLARY,71
2012,Russian Hill,LARCENY/THEFT,323
2012,Russian Hill,NON-CRIMINAL,159
2012,Russian Hill,OTHER OFFENSES,107
2013,Russian Hill,BURGLARY,114
2013,Russian Hill,LARCENY/THEFT,469
2013,Russian Hill,NON-CRIMINAL,163
2013,Russian Hill,OTHER OFFENSES,131
2013,Russian Hill,VEHICLE THEFT,73
2014,Russian Hill,,
2014,Russian Hill,,
2014,Russian Hill,,
2014,Russian Hill,,
2014,Russian Hill,,
2015,Russian Hill,FRAUD,3
2015,Russian Hill,LARCENY/THEFT,9
2015,Russian Hill,NON-CRIMINAL,5
2015,Russian Hill,OTHER OFFENSES,3
2015,Russian Hill,VANDALISM,5
2016,Russian Hill,ASSAULT,50
2016,Russian Hill,LARCENY/THEFT,454
2016,Russian Hill,NON-CRIMINAL,104
2016,Russian Hill,OTHER OFFENSES,100
2016,Russian Hill,VANDALISM,66
2017,Russian Hill,BURGLARY,69
2017,Russian Hill,LARCENY/THEFT,614
2017,Russian Hill,NON-CRIMINAL,127
2017,Russian Hill,OTHER OFFENSES,95
2017,Russian Hill,VANDALISM,76
2003,Seacliff,BURGLARY,4
2003,Seacliff,FRAUD,4
2003,Seacliff,LARCENY/THEFT,16
2003,Seacliff,VANDALISM,10
2003,Seacliff,VEHICLE THEFT,14
2004,Seacliff,BURGLARY,9
2004,Seacliff,FORGERY/COUNTERFEITING,5
2004,Seacliff,LARCENY/THEFT,16
2004,Seacliff,NON-CRIMINAL,6
2004,Seacliff,VEHICLE THEFT,16
2005,Seacliff,BURGLARY,4
2005,Seacliff,LARCENY/THEFT,15
2005,Seacliff,SUSPICIOUS OCC,4
2005,Seacliff,VANDALISM,4
2005,Seacliff,VEHICLE THEFT,17
2006,Seacliff,FRAUD,4
2006,Seacliff,LARCENY/THEFT,11
2006,Seacliff,NON-CRIMINAL,5
2006,Seacliff,OTHER OFFENSES,5
2006,Seacliff,VANDALISM,4
2007,Seacliff,BURGLARY,6
2007,Seacliff,LARCENY/THEFT,6
2007,Seacliff,NON-CRIMINAL,8
2007,Seacliff,SUSPICIOUS OCC,5
2007,Seacliff,VEHICLE THEFT,7
2008,Seacliff,ASSAULT,5
2008,Seacliff,BURGLARY,7
2008,Seacliff,LARCENY/THEFT,11
2008,Seacliff,OTHER OFFENSES,6
2008,Seacliff,VANDALISM,6
2009,Seacliff,BURGLARY,5
2009,Seacliff,LARCENY/THEFT,20
2009,Seacliff,NON-CRIMINAL,6
2009,Seacliff,OTHER OFFENSES,7
2009,Seacliff,VANDALISM,12
2010,Seacliff,BURGLARY,6
2010,Seacliff,LARCENY/THEFT,11
2010,Seacliff,NON-CRIMINAL,11
2010,Seacliff,SUSPICIOUS OCC,5
2010,Seacliff,VANDALISM,3
2011,Seacliff,BURGLARY,10
2011,Seacliff,LARCENY/THEFT,14
2011,Seacliff,OTHER OFFENSES,7
2011,Seacliff,SUSPICIOUS OCC,6
2011,Seacliff,VANDALISM,7
2012,Seacliff,BURGLARY,5
2012,Seacliff,LARCENY/THEFT,15
2012,Seacliff,NON-CRIMINAL,5
2012,Seacliff,OTHER OFFENSES,6
2012,Seacliff,SUSPICIOUS OCC,6
2013,Seacliff,BURGLARY,6
2013,Seacliff,LARCENY/THEFT,28
2013,Seacliff,NON-CRIMINAL,10
2013,Seacliff,SUSPICIOUS OCC,6
2013,Seacliff,VANDALISM,11
2014,Seacliff,,
2014,Seacliff,,
2014,Seacliff,,
2014,Seacliff,,
2014,Seacliff,,
2015,Seacliff,,
2015,Seacliff,,
2015,Seacliff,LARCENY/THEFT,1
2015,Seacliff,NON-CRIMINAL,1
2015,Seacliff,OTHER OFFENSES,1
2016,Seacliff,LARCENY/THEFT,10
2016,Seacliff,OTHER OFFENSES,4
2016,Seacliff,SUSPICIOUS OCC,6
2016,Seacliff,VANDALISM,6
2016,Seacliff,VEHICLE THEFT,4
2017,Seacliff,ASSAULT,4
2017,Seacliff,LARCENY/THEFT,17
2017,Seacliff,NON-CRIMINAL,13
2017,Seacliff,OTHER OFFENSES,8
2017,Seacliff,VANDALISM,4
2003,South of Market,DRUG/NARCOTIC,904
2003,South of Market,LARCENY/THEFT,2120
2003,South of Market,NON-CRIMINAL,1065
2003,South of Market,OTHER OFFENSES,1540
2003,South of Market,WARRANTS,830
2004,South of Market,ASSAULT,715
2004,South of Market,DRUG/NARCOTIC,713
2004,South of Market,LARCENY/THEFT,2227
2004,South of Market,NON-CRIMINAL,1156
2004,South of Market,OTHER OFFENSES,1456
2005,South of Market,ASSAULT,717
2005,South of Market,LARCENY/THEFT,2282
2005,South of Market,NON-CRIMINAL,1426
2005,South of Market,OTHER OFFENSES,1140
2005,South of Market,WARRANTS,576
2006,South of Market,ASSAULT,726
2006,South of Market,LARCENY/THEFT,2558
2006,South of Market,NON-CRIMINAL,1342
2006,South of Market,OTHER OFFENSES,1021
2006,South of Market,WARRANTS,573
2007,South of Market,ASSAULT,771
2007,South of Market,DRUG/NARCOTIC,671
2007,South of Market,LARCENY/THEFT,2398
2007,South of Market,NON-CRIMINAL,1266
2007,South of Market,OTHER OFFENSES,1296
2008,South of Market,ASSAULT,732
2008,South of Market,DRUG/NARCOTIC,850
2008,South of Market,LARCENY/THEFT,2160
2008,South of Market,NON-CRIMINAL,1154
2008,South of Market,OTHER OFFENSES,1497
2009,South of Market,ASSAULT,687
2009,South of Market,DRUG/NARCOTIC,967
2009,South of Market,LARCENY/THEFT,2202
2009,South of Market,NON-CRIMINAL,1101
2009,South of Market,OTHER OFFENSES,1650
2010,South of Market,ASSAULT,884
2010,South of Market,DRUG/NARCOTIC,858
2010,South of Market,LARCENY/THEFT,2378
2010,South of Market,NON-CRIMINAL,1436
2010,South of Market,OTHER OFFENSES,1457
2011,South of Market,ASSAULT,835
2011,South of Market,LARCENY/THEFT,2117
2011,South of Market,NON-CRIMINAL,1359
2011,South of Market,OTHER OFFENSES,1295
2011,South of Market,WARRANTS,674
2012,South of Market,ASSAULT,782
2012,South of Market,LARCENY/THEFT,2742
2012,South of Market,NON-CRIMINAL,1361
2012,South of Market,OTHER OFFENSES,1247
2012,South of Market,WARRANTS,624
2013,South of Market,ASSAULT,742
2013,South of Market,LARCENY/THEFT,3195
2013,South of Market,NON-CRIMINAL,1650
2013,South of Market,OTHER OFFENSES,1355
2013,South of Market,WARRANTS,772
2014,South of Market,,
2014,South of Market,,
2014,South of Market,,
2014,South of Market,ASSAULT,1
2014,South of Market,EMBEZZLEMENT,1
2015,South of Market,ASSAULT,31
2015,South of Market,LARCENY/THEFT,74
2015,South of Market,NON-CRIMINAL,43
2015,South of Market,OTHER OFFENSES,28
2015,South of Market,WARRANTS,18
2016,South of Market,ASSAULT,445
2016,South of Market,LARCENY/THEFT,2341
2016,South of Market,NON-CRIMINAL,712
2016,South of Market,OTHER OFFENSES,656
2016,South of Market,VANDALISM,313
2017,South of Market,ASSAULT,743
2017,South of Market,LARCENY/THEFT,2177
2017,South of Market,NON-CRIMINAL,826
2017,South of Market,OTHER OFFENSES,814
2017,South of Market,WARRANTS,375
2003,Sunset/Parkside,ASSAULT,248
2003,Sunset/Parkside,LARCENY/THEFT,338
2003,Sunset/Parkside,NON-CRIMINAL,286
2003,Sunset/Parkside,OTHER OFFENSES,276
2003,Sunset/Parkside,VEHICLE THEFT,377
2004,Sunset/Parkside,ASSAULT,241
2004,Sunset/Parkside,LARCENY/THEFT,327
2004,Sunset/Parkside,NON-CRIMINAL,298
2004,Sunset/Parkside,OTHER OFFENSES,295
2004,Sunset/Parkside,VEHICLE THEFT,649
2005,Sunset/Parkside,ASSAULT,234
2005,Sunset/Parkside,LARCENY/THEFT,306
2005,Sunset/Parkside,NON-CRIMINAL,323
2005,Sunset/Parkside,OTHER OFFENSES,274
2005,Sunset/Parkside,VEHICLE THEFT,628
2006,Sunset/Parkside,LARCENY/THEFT,334
2006,Sunset/Parkside,NON-CRIMINAL,252
2006,Sunset/Parkside,OTHER OFFENSES,248
2006,Sunset/Parkside,VANDALISM,235
2006,Sunset/Parkside,VEHICLE THEFT,282
2007,Sunset/Parkside,LARCENY/THEFT,348
2007,Sunset/Parkside,NON-CRIMINAL,248
2007,Sunset/Parkside,OTHER OFFENSES,265
2007,Sunset/Parkside,VANDALISM,235
2007,Sunset/Parkside,VEHICLE THEFT,221
2008,Sunset/Parkside,LARCENY/THEFT,382
2008,Sunset/Parkside,NON-CRIMINAL,255
2008,Sunset/Parkside,OTHER OFFENSES,347
2008,Sunset/Parkside,VANDALISM,262
2008,Sunset/Parkside,VEHICLE THEFT,219
2009,Sunset/Parkside,ASSAULT,206
2009,Sunset/Parkside,LARCENY/THEFT,387
2009,Sunset/Parkside,NON-CRIMINAL,266
2009,Sunset/Parkside,OTHER OFFENSES,326
2009,Sunset/Parkside,VANDALISM,219
2010,Sunset/Parkside,ASSAULT,228
2010,Sunset/Parkside,LARCENY/THEFT,311
2010,Sunset/Parkside,NON-CRIMINAL,263
2010,Sunset/Parkside,OTHER OFFENSES,301
2010,Sunset/Parkside,VANDALISM,235
2011,Sunset/Parkside,ASSAULT,180
2011,Sunset/Parkside,LARCENY/THEFT,379
2011,Sunset/Parkside,NON-CRIMINAL,343
2011,Sunset/Parkside,OTHER OFFENSES,283
2011,Sunset/Parkside,VANDALISM,202
2012,Sunset/Parkside,ASSAULT,193
2012,Sunset/Parkside,LARCENY/THEFT,339
2012,Sunset/Parkside,NON-CRIMINAL,394
2012,Sunset/Parkside,OTHER OFFENSES,340
2012,Sunset/Parkside,VANDALISM,178
2013,Sunset/Parkside,ASSAULT,164
2013,Sunset/Parkside,LARCENY/THEFT,423
2013,Sunset/Parkside,NON-CRIMINAL,459
2013,Sunset/Parkside,OTHER OFFENSES,317
2013,Sunset/Parkside,VANDALISM,161
2014,Sunset/Parkside,,
2014,Sunset/Parkside,,
2014,Sunset/Parkside,,
2014,Sunset/Parkside,ARSON,1
2014,Sunset/Parkside,NON-CRIMINAL,1
2015,Sunset/Parkside,LARCENY/THEFT,8
2015,Sunset/Parkside,NON-CRIMINAL,11
2015,Sunset/Parkside,OTHER OFFENSES,8
2015,Sunset/Parkside,SUSPICIOUS OCC,6
2015,Sunset/Parkside,VEHICLE THEFT,5
2016,Sunset/Parkside,ASSAULT,114
2016,Sunset/Parkside,LARCENY/THEFT,357
2016,Sunset/Parkside,NON-CRIMINAL,244
2016,Sunset/Parkside,OTHER OFFENSES,199
2016,Sunset/Parkside,VANDALISM,100
2017,Sunset/Parkside,ASSAULT,160
2017,Sunset/Parkside,LARCENY/THEFT,288
2017,Sunset/Parkside,MISSING PERSON,227
2017,Sunset/Parkside,NON-CRIMINAL,261
2017,Sunset/Parkside,OTHER OFFENSES,298
2003,Tenderloin,ASSAULT,1070
2003,Tenderloin,DRUG/NARCOTIC,1990
2003,Tenderloin,LARCENY/THEFT,1078
2003,Tenderloin,OTHER OFFENSES,1767
2003,Tenderloin,WARRANTS,1176
2004,Tenderloin,ASSAULT,1023
2004,Tenderloin,DRUG/NARCOTIC,2184
2004,Tenderloin,LARCENY/THEFT,1031
2004,Tenderloin,OTHER OFFENSES,1698
2004,Tenderloin,WARRANTS,1041
2005,Tenderloin,ASSAULT,968
2005,Tenderloin,DRUG/NARCOTIC,2120
2005,Tenderloin,LARCENY/THEFT,1153
2005,Tenderloin,NON-CRIMINAL,878
2005,Tenderloin,OTHER OFFENSES,1363
2006,Tenderloin,ASSAULT,1106
2006,Tenderloin,DRUG/NARCOTIC,2074
2006,Tenderloin,LARCENY/THEFT,1228
2006,Tenderloin,NON-CRIMINAL,908
2006,Tenderloin,OTHER OFFENSES,1477
2007,Tenderloin,ASSAULT,1231
2007,Tenderloin,DRUG/NARCOTIC,2863
2007,Tenderloin,LARCENY/THEFT,1354
2007,Tenderloin,OTHER OFFENSES,1857
2007,Tenderloin,WARRANTS,1026
2008,Tenderloin,ASSAULT,1137
2008,Tenderloin,DRUG/NARCOTIC,3452
2008,Tenderloin,LARCENY/THEFT,1136
2008,Tenderloin,OTHER OFFENSES,2525
2008,Tenderloin,WARRANTS,925
2009,Tenderloin,ASSAULT,1101
2009,Tenderloin,DRUG/NARCOTIC,3363
2009,Tenderloin,LARCENY/THEFT,1069
2009,Tenderloin,NON-CRIMINAL,969
2009,Tenderloin,OTHER OFFENSES,2883
2010,Tenderloin,ASSAULT,1069
2010,Tenderloin,DRUG/NARCOTIC,2072
2010,Tenderloin,LARCENY/THEFT,1044
2010,Tenderloin,NON-CRIMINAL,1213
2010,Tenderloin,OTHER OFFENSES,1804
2011,Tenderloin,ASSAULT,1070
2011,Tenderloin,DRUG/NARCOTIC,1592
2011,Tenderloin,LARCENY/THEFT,1081
2011,Tenderloin,NON-CRIMINAL,1186
2011,Tenderloin,OTHER OFFENSES,1498
2012,Tenderloin,ASSAULT,967
2012,Tenderloin,DRUG/NARCOTIC,1444
2012,Tenderloin,LARCENY/THEFT,1328
2012,Tenderloin,NON-CRIMINAL,1153
2012,Tenderloin,OTHER OFFENSES,1309
2013,Tenderloin,ASSAULT,1174
2013,Tenderloin,DRUG/NARCOTIC,1408
2013,Tenderloin,LARCENY/THEFT,1672
2013,Tenderloin,NON-CRIMINAL,1560
2013,Tenderloin,OTHER OFFENSES,1529
2014,Tenderloin,,
2014,Tenderloin,,
2014,Tenderloin,,
2014,Tenderloin,ASSAULT,1
2014,Tenderloin,VEHICLE THEFT,1
2015,Tenderloin,ASSAULT,41
2015,Tenderloin,LARCENY/THEFT,28
2015,Tenderloin,NON-CRIMINAL,37
2015,Tenderloin,OTHER OFFENSES,33
2015,Tenderloin,WARRANTS,15
2016,Tenderloin,ASSAULT,612
2016,Tenderloin,DRUG/NARCOTIC,402
2016,Tenderloin,LARCENY/THEFT,1048
2016,Tenderloin,NON-CRIMINAL,666
2016,Tenderloin,OTHER OFFENSES,565
2017,Tenderloin,ASSAULT,737
2017,Tenderloin,DRUG/NARCOTIC,496
2017,Tenderloin,LARCENY/THEFT,1023
2017,Tenderloin,NON-CRIMINAL,815
2017,Tenderloin,OTHER OFFENSES,761
2003,Treasure Island,ASSAULT,27
2003,Treasure Island,BURGLARY,27
2003,Treasure Island,NON-CRIMINAL,20
2003,Treasure Island,OTHER OFFENSES,27
2003,Treasure Island,VEHICLE THEFT,19
2004,Treasure Island,ASSAULT,29
2004,Treasure Island,LARCENY/THEFT,19
2004,Treasure Island,NON-CRIMINAL,21
2004,Treasure Island,OTHER OFFENSES,21
2004,Treasure Island,VEHICLE THEFT,33
2005,Treasure Island,ASSAULT,14
2005,Treasure Island,LARCENY/THEFT,17
2005,Treasure Island,NON-CRIMINAL,20
2005,Treasure Island,VANDALISM,13
2005,Treasure Island,VEHICLE THEFT,19
2006,Treasure Island,ASSAULT,14
2006,Treasure Island,BURGLARY,21
2006,Treasure Island,LARCENY/THEFT,18
2006,Treasure Island,NON-CRIMINAL,17
2006,Treasure Island,OTHER OFFENSES,16
2007,Treasure Island,ASSAULT,24
2007,Treasure Island,BURGLARY,23
2007,Treasure Island,NON-CRIMINAL,16
2007,Treasure Island,OTHER OFFENSES,26
2007,Treasure Island,VEHICLE THEFT,14
2008,Treasure Island,ASSAULT,28
2008,Treasure Island,BURGLARY,25
2008,Treasure Island,LARCENY/THEFT,32
2008,Treasure Island,OTHER OFFENSES,35
2008,Treasure Island,VANDALISM,17
2009,Treasure Island,ASSAULT,23
2009,Treasure Island,LARCENY/THEFT,25
2009,Treasure Island,NON-CRIMINAL,22
2009,Treasure Island,OTHER OFFENSES,24
2009,Treasure Island,VANDALISM,22
2010,Treasure Island,ASSAULT,14
2010,Treasure Island,BURGLARY,17
2010,Treasure Island,LARCENY/THEFT,17
2010,Treasure Island,NON-CRIMINAL,12
2010,Treasure Island,VANDALISM,15
2011,Treasure Island,BURGLARY,9
2011,Treasure Island,LARCENY/THEFT,15
2011,Treasure Island,NON-CRIMINAL,13
2011,Treasure Island,OTHER OFFENSES,19
2011,Treasure Island,VANDALISM,13
2012,Treasure Island,ASSAULT,22
2012,Treasure Island,BURGLARY,8
2012,Treasure Island,LARCENY/THEFT,19
2012,Treasure Island,NON-CRIMINAL,13
2012,Treasure Island,VANDALISM,11
2013,Treasure Island,ASSAULT,14
2013,Treasure Island,BURGLARY,14
2013,Treasure Island,LARCENY/THEFT,40
2013,Treasure Island,NON-CRIMINAL,24
2013,Treasure Island,OTHER OFFENSES,13
2014,Treasure Island,,
2014,Treasure Island,,
2014,Treasure Island,,
2014,Treasure Island,,
2014,Treasure Island,,
2015,Treasure Island,,
2015,Treasure Island,,
2015,Treasure Island,ASSAULT,2
2015,Treasure Island,OTHER OFFENSES,1
2015,Treasure Island,VEHICLE THEFT,2
2016,Treasure Island,ASSAULT,10
2016,Treasure Island,LARCENY/THEFT,28
2016,Treasure Island,NON-CRIMINAL,10
2016,Treasure Island,OTHER OFFENSES,7
2016,Treasure Island,VANDALISM,6
2017,Treasure Island,LARCENY/THEFT,20
2017,Treasure Island,NON-CRIMINAL,11
2017,Treasure Island,OTHER OFFENSES,10
2017,Treasure Island,SUSPICIOUS OCC,10
2017,Treasure Island,VANDALISM,10
2003,Twin Peaks,ASSAULT,63
2003,Twin Peaks,LARCENY/THEFT,73
2003,Twin Peaks,NON-CRIMINAL,27
2003,Twin Peaks,OTHER OFFENSES,24
2003,Twin Peaks,VEHICLE THEFT,47
2004,Twin Peaks,ASSAULT,53
2004,Twin Peaks,BURGLARY,27
2004,Twin Peaks,LARCENY/THEFT,53
2004,Twin Peaks,NON-CRIMINAL,32
2004,Twin Peaks,VEHICLE THEFT,78
2005,Twin Peaks,ASSAULT,38
2005,Twin Peaks,BURGLARY,33
2005,Twin Peaks,LARCENY/THEFT,59
2005,Twin Peaks,NON-CRIMINAL,28
2005,Twin Peaks,VEHICLE THEFT,53
2006,Twin Peaks,ASSAULT,31
2006,Twin Peaks,BURGLARY,35
2006,Twin Peaks,LARCENY/THEFT,56
2006,Twin Peaks,NON-CRIMINAL,26
2006,Twin Peaks,VEHICLE THEFT,22
2007,Twin Peaks,ASSAULT,25
2007,Twin Peaks,LARCENY/THEFT,43
2007,Twin Peaks,NON-CRIMINAL,33
2007,Twin Peaks,OTHER OFFENSES,19
2007,Twin Peaks,VANDALISM,22
2008,Twin Peaks,ASSAULT,40
2008,Twin Peaks,BURGLARY,22
2008,Twin Peaks,LARCENY/THEFT,64
2008,Twin Peaks,NON-CRIMINAL,26
2008,Twin Peaks,OTHER OFFENSES,22
2009,Twin Peaks,ASSAULT,38
2009,Twin Peaks,DRUG/NARCOTIC,25
