Year,Neigh,Num
2013,Seacliff,79
2013,South of Market,11007
2013,Sunset/Parkside,2314
2013,Tenderloin,10953
2013,Treasure Island,143
2013,Twin Peaks,323
2013,Visitacion Valley,1029
2013,West of Twin Peaks,1705
2013,Western Addition,3105
2014,Bayview Hunters Point,5712
2014,Bernal Heights,1742
2014,Castro/Upper Market,2475
2014,Chinatown,1265
2014,Excelsior,1576
2014,Financial District/South Beach,5408
2014,Glen Park,431
2014,Golden Gate Park,767
2014,Haight Ashbury,1673
2014,Hayes Valley,2032
2014,Inner Richmond,1023
2014,Inner Sunset,995
2014,Japantown,445
2014,Lakeshore,843
2014,Lincoln Park,12
2014,Lone Mountain/USF,1065
2014,Marina,1643
2014,McLaren Park,132
2014,Mission,9626
2014,Mission Bay,743
2014,Nob Hill,2533
2014,Noe Valley,854
2014,North Beach,1888
2014,Oceanview/Merced/Ingleside,1305
2014,Outer Mission,1423
2014,Outer Richmond,1487
2014,Pacific Heights,1465
2014,Portola,854
2014,Potrero Hill,1523
2014,Presidio,22
2014,Presidio Heights,521
2014,Russian Hill,1085
2014,Seacliff,42
2014,South of Market,9632
2014,Sunset/Parkside,2345
2014,Tenderloin,9583
2014,Treasure Island,121
2014,Twin Peaks,293
2014,Visitacion Valley,1199
2014,West of Twin Peaks,1754
2014,Western Addition,3143
2015,Bayview Hunters Point,5234
2015,Bernal Heights,1732
2015,Castro/Upper Market,2567
2015,Chinatown,1343
2015,Excelsior,1465
2015,Financial District/South Beach,5463
2015,Glen Park,384
2015,Golden Gate Park,890
2015,Haight Ashbury,1678
2015,Hayes Valley,1894
2015,Inner Richmond,1154
2015,Inner Sunset,1043
2015,Japantown,598
2015,Lakeshore,878
2015,Lincoln Park,14
2015,Lone Mountain/USF,1121
2015,Marina,1675
2015,McLaren Park,93
2015,Mission,8733
2015,Mission Bay,832
2015,Nob Hill,2304
2015,Noe Valley,738
2015,North Beach,1943
2015,Oceanview/Merced/Ingleside,1122
2015,Outer Mission,1234
2015,Outer Richmond,1612
2015,Pacific Heights,1389
2015,Portola,752
2015,Potrero Hill,1465
2015,Presidio,21
2015,Presidio Heights,467
2015,Russian Hill,1104
2015,Seacliff,61
2015,South of Market,9212
2015,Sunset/Parkside,2143
2015,Tenderloin,8532
2015,Treasure Island,115
2015,Twin Peaks,289
2015,Visitacion Valley,923
2015,West of Twin Peaks,1521
